codigo_proveedor,nombre
PROC,PROCONESA IMPORTADORA
PROD,PRODUCTOS NATURALES
PROE,PROMEFAR-PROD.MED.FAR. E.I.R.L
PROF,PROFARMA S.A.
PROM,PRODUCTOS MASIVOS S.A
PROS,PROSKIN PERU SOCIEDAD ANONIMA
PROT,CONSORCIO PROTON S.A.
PROV,PROVOCA S.A IMPORT.DISTRIB.
QCEL,QUICK CELULAR S.A.C.
QUAL,QUALIS PHARMA SAC
QUI,QUIBEL S.A.
QUIM,FP MAYORISTA S.A.C.
R.K.,R.K. COMERCIAL SA
RAGU,RAGU IMPORT & EXPORT S.R.L.
RAS,R. A. SUPPLY MEDICAL SOCIEDAD ANONIMA
RDER,REPRESENTACIONES DERMATOLOGICAS
RECA,REPRESENTACIONES CASTILLO SOCIEDAD ANONI
REFA,REPRESENTAC.FARMACEUT.REFASA
REGA,REGAL S.A.
REYE,DROGUERIA REYES S.A.
RGS,IMPORTACIONES RGYS EIRL.
RICK,RICKMANN S.A IMPORT.Y EXPORT.
RIFE,RIFESA S.A.-MIMO
RIMS,REPRESENTACIONES RIMSA S.R.L
ROBE,ROBEFO S.R.L.
ROBN,DISTRIBUIDORA  ROBENY EIRL
ROC,ROCSA
ROCO,L PROCONESA
ROCS,RICHARD O. CUSTER S.A.
ROD,RODRIGUEZ ARENAZA FIDEL ERNESTO
ROM,DISTRIBUCIONES Y SERVICIOS ROMA S.A.C.
ROPS,ROPSOHN LABORATORIOS LTDA.
ROSB,ROSBINA LOOFAH
ROSI,COMERCIAL ROSITA IMPORT.EXPORT
RRM,RR MEDICAL SOCIEDAD COMERCIAL DE RESPONS
RSPP,RSP PHARMA SRL.
S&P,BOTICAS S&P
SADA,SADAL DISTRIBUIDORA DE ALIMENT
SAJO,FARMACIA SANTA JORNET
SALA,DROG. DISTRIBUIDORA SALAZA S.A
SALD,DISTRIBUIDORA SALDIR E.I.R.L.
SALI,SALINAS DELSI F.STA.JUORNET
SALT,SALT
SANJ,DROGUERIA SAN JUAN S.A.
SANN,SISTEMAS DE ADMINISTRACION HOSPITALARIA 
SANP,GRUPO FARMACEUTICO SAN PEDRO SOCIEDAD AN
SANX,SANEXIM S.A.C
SAOP,FARMACIA SAO PAULO
SATY,SANTY DISTRIBUCIONESSCRL
SBEL,SPA BELLESTI S.A.C.
SCOS,SUR COSMA EIRL LTDA
SEGE,SERV. GENERALES DE VENTAS S.A.
SERS,BOTICA SERVIS
SERV,SERVAL
SIEL,CONTICORP S.A.C.
SJOS,DROGUERIA  SAN JOSE E.I. R. L
SKHE,SKINHEALTH AQP S.R.L.
SKIN,SKIN PRODUCTS
SKNC,SKINCENTERAQP E.I.R.L.
SKNS,SKINSCIENCE S.A.C.
SNF,SNF DISTRIBUCIONES
SOCI,SOCIEDAD FUTURA S.R.L.
SOLM,SOLMEDICA SOLUCIONES MEDICO ODONTOLOGICA
SOLP,SOLPIER DISTRIBUCIONES
SOPH,SOPHIA
SPC,MORMONTOY SONCCO OLIGARIO
SQUI,SQUIFARM S.C.R.LTDA.
SSAA,BIOCHIC E.I.R.L.
SSOM,SSOMA PHARMACEUTICA S.A.C.
STAH,EDMUNDO STAHL & CIA S.A.
STOR,FARMACIA SANTO REMEDIO
SUMA,SUMACC S.A DISTRIBUCINES
SUMI,SUMINISTRO INTERNACIONAL
SUNR,SUNRISE INTERNATIONAL LABS
SUP,SUPERDENT
SUPE,FARMACIA SUPER ECONIMICA
SURF,SURFARMA
SYP,S & P TOVAR DISTRIBUCIONES S.A.C.
TAGL,REPRESENT.TAGLE E HIJOS EIRL
TAIL,TAI LOY S.A IMPORTAFORES
TECA,TELECARD
TECM,TECNOLOGIAS MEDICAS AREQUIPA S.A.
TECN,TECNOFARMA S.A.
TECS,TECNICA SOCIEDAD ANONIMA CERRADA
TELE,TELEFONICA DEL PERU
TIM,TIM PERU S.A.C
TOPI,TOP IMPORT S.R. LTDA.
TOTT,HIPERMERCADOS TOTTUS S.A
TREV,TREVI S.A IMPORTADORA
TRIF,TRIFARMA
TRU,TRUSTLAB SOCIEDAD ANONIMA CERRADA
TSD,TSD DISTRIBUCIONES SAC
UN C,UNIVERSIDAD CATOLICA STA MARIA
UNIC,UNICA DEL PERU S.A.
UNIF,UNIFAR SAC
UNIN,UNINSA S.R.LTDA.
UNIO,REPRESENTACIONES UNION S.R.L
UNIQ,INDUSTRIAS UNIQUIMICA S.R.L
UNQU,UNIQUE DISTRIBUIDORA
URCO,URCONSA S.R.LTDA.
URSU,SANTA URSULA SERVICIOS DE SALUD E.I.R.L.
USA,ESTADO UNIDOS DE AMERICA
VAME,VAMEDSUR 
VAN,VANBRIL GROUP CORPORATION S.A.C.
VARI,PROVEEDORES QUE NO DAN FACTURA
VEA,PLAZA VEA - COMPAÑIA FOOD RETAIL S.A.C
VEL,VELASQUEZ VILLALTA PERCY DAMIAN
VERD,INVERSIONES Y DISTRIBUIDORA VERDI S.A.C.
VICS,VICSIL DISTRIBUCIONES LTDA.
VIRA,VIRAGO L & S S.A.C.
